iter	Passed	Remaining
0	99	496389
1	190	475779
2	290	484418
3	386	482555
4	483	482832
5	582	484793
6	677	482923
7	773	482761
8	876	486003
9	970	484186
10	1063	482380
11	1159	482074
12	1260	483509
13	1361	484984
14	1459	484939
15	1554	484363
16	1647	482900
17	1742	482218
18	1841	482740
19	1936	482266
20	2037	483033
21	2131	482342
22	2227	482013
23	2321	481396
24	2423	482198
25	2515	481324
26	2613	481395
27	2709	481053
28	2799	479903
29	2893	479285
30	2988	479080
31	3081	478374
32	3176	478175
33	3278	478887
34	3374	478724
35	3469	478368
36	3562	477879
37	3658	477739
38	3750	477020
39	3841	476356
40	3936	476168
41	4034	476256
42	4124	475476
43	4219	475270
44	4316	475278
45	4412	475241
46	4512	475554
47	4617	476354
48	4717	476662
49	4819	477177
50	4920	477522
51	5025	478194
52	5126	478480
53	5231	479138
54	5338	480005
55	5437	480087
56	5537	480202
57	5643	480830
58	5749	481509
59	5855	482076
60	5956	482286
61	6053	482170
62	6152	482145
63	6246	481788
64	6341	481469
65	6437	481281
66	6530	480797
67	6633	481129
68	6728	480823
69	6823	480550
70	6918	480268
71	7013	480011
72	7109	479823
73	7203	479545
74	7302	479528
75	7404	479712
76	7500	479552
77	7602	479750
78	7704	479938
79	7804	479956
80	7905	480106
81	8004	480053
82	8093	479485
83	8183	478901
84	8287	479211
85	8383	479001
86	8474	478591
87	8571	478431
88	8665	478174
89	8759	477904
90	8854	477673
91	8953	477624
92	9047	477369
93	9147	477406
94	9253	477777
95	9350	477678
96	9450	477677
97	9555	477984
98	9659	478191
99	9766	478575
100	9870	478779
101	9975	479010
102	10081	479299
103	10185	479497
104	10278	479187
105	10367	478687
106	10460	478331
107	10555	478136
108	10646	477710
109	10735	477240
110	10823	476730
111	10916	476406
112	11012	476263
113	11102	475854
114	11192	475425
115	11286	475203
116	11386	475211
117	11487	475288
118	11587	475282
119	11682	475100
120	11775	474831
121	11868	474531
122	11963	474346
123	12058	474155
124	12149	473839
125	12234	473248
126	12321	472790
127	12419	472699
128	12512	472453
129	12601	472078
130	12688	471604
131	12774	471112
132	12867	470864
133	12956	470485
134	13040	469950
135	13128	469541
136	13215	469105
137	13308	468891
138	13411	469008
139	13506	468877
140	13597	468583
141	13687	468255
142	13795	468575
143	13892	468494
144	13988	468377
145	14076	467999
146	14170	467820
147	14271	467862
148	14369	467834
149	14458	467479
150	14551	467283
151	14653	467358
152	14749	467256
153	14856	467501
154	14948	467274
155	15049	467305
156	15159	467632
157	15271	468003
158	15369	467962
159	15471	468000
160	15560	467674
161	15653	467473
162	15740	467108
163	15833	466896
164	15918	466459
165	16018	466458
166	16119	466493
167	16216	466412
168	16324	466635
169	16422	466580
170	16514	466369
171	16605	466104
172	16698	465926
173	16790	465684
174	16886	465573
175	16978	465362
176	17077	465338
177	17173	465227
178	17269	465120
179	17362	464935
180	17457	464802
181	17546	464497
182	17635	464206
183	17727	463994
184	17826	463958
185	17918	463764
186	18022	463869
187	18123	463875
188	18217	463726
189	18311	463577
190	18405	463411
191	18503	463356
192	18598	463221
193	18698	463221
194	18807	463447
195	18905	463382
196	18998	463205
197	19094	463080
198	19196	463120
199	19292	463016
200	19386	462854
201	19481	462738
202	19573	462536
203	19666	462360
204	19751	461998
205	19840	461716
206	19935	461587
207	20040	461705
208	20138	461634
209	20229	461414
210	20329	461419
211	20423	461263
212	20520	461184
213	20611	460968
214	20708	460888
215	20798	460643
216	20888	460403
217	20982	460265
218	21081	460222
219	21170	459967
220	21265	459856
221	21356	459639
222	21441	459317
223	21534	459154
224	21627	458988
225	21720	458812
226	21813	458669
227	21901	458396
228	21987	458084
229	22074	457803
230	22168	457674
231	22262	457531
232	22356	457402
233	22446	457179
234	22535	456938
235	22627	456775
236	22722	456646
237	22814	456477
238	22903	456254
239	22990	455985
240	23081	455782
241	23170	455568
242	23261	455363
243	23355	455248
244	23445	455042
245	23542	454958
246	23646	455018
247	23738	454865
248	23836	454798
249	23923	454546
250	24015	454379
251	24122	454498
252	24221	454459
253	24308	454209
254	24408	454196
255	24504	454102
256	24605	454096
257	24704	454063
258	24799	453954
259	24901	453967
260	25000	453944
261	25094	453804
262	25188	453680
263	25294	453762
264	25387	453620
265	25488	453614
266	25590	453639
267	25687	453559
268	25786	453514
269	25881	453398
270	25976	453294
271	26071	453187
272	26168	453100
273	26262	452983
274	26359	452899
275	26460	452890
276	26556	452806
277	26648	452645
278	26743	452531
279	26833	452333
280	26924	452158
281	27012	451936
282	27110	451881
283	27208	451815
284	27297	451599
285	27390	451460
286	27482	451310
287	27579	451238
288	27667	451011
289	27756	450796
290	27847	450636
291	27941	450513
292	28029	450285
293	28120	450125
294	28218	450064
295	28315	449993
296	28404	449782
297	28493	449589
298	28582	449380
299	28670	449163
300	28759	448970
301	28852	448831
302	28951	448794
303	29061	448927
304	29155	448804
305	29273	449055
306	29389	449267
307	29483	449143
308	29576	449013
309	29669	448878
310	29763	448745
311	29857	448622
312	29956	448582
313	30056	448546
314	30147	448391
315	30247	448345
316	30337	448179
317	30423	447931
318	30516	447799
319	30612	447708
320	30713	447687
321	30820	447759
322	30918	447697
323	31007	447502
324	31101	447385
325	31200	447331
326	31295	447224
327	31391	447134
328	31484	447001
329	31576	446854
330	31664	446644
331	31750	446421
332	31841	446264
333	31936	446159
334	32032	446064
335	32118	445835
336	32201	445569
337	32297	445471
338	32391	445356
339	32483	445216
340	32584	445190
341	32682	445127
342	32773	444967
343	32869	444885
344	32956	444675
345	33047	444519
346	33135	444321
347	33229	444207
348	33318	444021
349	33412	443903
350	33512	443877
351	33605	443747
352	33693	443550
353	33786	443420
354	33879	443297
355	33973	443176
356	34068	443086
357	34168	443042
358	34258	442882
359	34359	442850
360	34452	442733
361	34546	442612
362	34644	442552
363	34736	442416
364	34832	442321
365	34931	442272
366	35024	442148
367	35115	441997
368	35206	441846
369	35293	441647
370	35378	441422
371	35463	441200
372	35556	441077
373	35652	440982
374	35757	441004
375	35847	440851
376	35940	440721
377	36029	440555
378	36121	440419
379	36222	440391
380	36306	440158
381	36393	439958
382	36484	439817
383	36568	439584
384	36672	439597
385	36781	439662
386	36870	439487
387	36956	439285
388	37049	439165
389	37143	439059
390	37243	439012
391	37338	438914
392	37436	438859
393	37537	438827
394	37627	438672
395	37718	438521
396	37810	438394
397	37913	438387
398	38001	438208
399	38094	438083
400	38185	437940
401	38271	437737
402	38360	437575
403	38467	437610
404	38564	437535
405	38666	437518
406	38766	437481
407	38866	437441
408	38986	437618
409	39088	437597
410	39188	437557
411	39286	437488
412	39375	437328
413	39469	437219
414	39577	437256
415	39675	437198
416	39772	437119
417	39859	436924
418	39945	436734
419	40043	436665
420	40131	436490
421	40226	436389
422	40314	436215
423	40409	436118
424	40500	435973
425	40590	435824
426	40675	435622
427	40778	435602
428	40868	435449
429	40972	435448
430	41073	435415
431	41168	435317
432	41262	435206
433	41354	435080
434	41474	435240
435	41574	435199
436	41670	435105
437	41766	435017
438	41864	434947
439	41972	434987
440	42085	435076
441	42189	435070
442	42295	435081
443	42419	435274
444	42532	435362
445	42633	435316
446	42737	435311
447	42839	435280
448	42937	435209
449	43040	435191
450	43145	435190
451	43252	435205
452	43364	435269
453	43476	435341
454	43601	435531
455	43714	435609
456	43817	435584
457	43913	435488
458	44025	435555
459	44128	435532
460	44227	435459
461	44339	435529
462	44437	435446
463	44544	435459
464	44644	435404
465	44739	435301
466	44842	435267
467	44945	435237
468	45044	435170
469	45151	435187
470	45253	435148
471	45360	435156
472	45463	435124
473	45579	435214
474	45687	435233
475	45784	435148
476	45885	435098
477	45978	434966
478	46072	434853
479	46163	434703
480	46256	434583
481	46352	434487
482	46438	434295
483	46525	434110
484	46615	433955
485	46702	433777
486	46793	433635
487	46904	433676
488	47010	433670
489	47107	433584
490	47198	433433
491	47291	433309
492	47385	433196
493	47490	433180
494	47587	433095
495	47676	432936
496	47777	432879
497	47878	432825
498	47982	432801
499	48076	432686
500	48175	432618
501	48258	432403
502	48349	432262
503	48444	432158
504	48535	432009
505	48641	432006
506	48733	431869
507	48830	431786
508	48920	431636
509	49024	431606
510	49116	431473
511	49207	431336
512	49301	431216
513	49384	431011
514	49477	430885
515	49563	430702
516	49661	430621
517	49759	430541
518	49849	430393
519	49939	430248
520	50043	430217
521	50132	430064
522	50233	430012
523	50331	429931
524	50425	429813
525	50516	429678
526	50616	429613
527	50711	429514
528	50811	429446
529	50928	429525
530	51014	429351
531	51116	429298
532	51214	429224
533	51309	429119
534	51402	428995
535	51485	428793
536	51572	428620
537	51661	428463
538	51748	428291
539	51833	428110
540	51924	427965
541	52010	427792
542	52095	427608
543	52179	427407
544	52266	427243
545	52365	427171
546	52461	427074
547	52554	426956
548	52651	426868
549	52744	426746
550	52836	426621
551	52935	426554
552	53029	426437
553	53129	426375
554	53226	426291
555	53325	426220
556	53411	426046
557	53501	425904
558	53595	425788
559	53713	425873
560	53818	425848
561	53905	425683
562	54007	425634
563	54096	425484
564	54185	425330
565	54273	425170
566	54367	425064
567	54463	424965
568	54550	424804
569	54650	424740
570	54735	424557
571	54820	424376
572	54905	424196
573	54991	424031
574	55075	423840
575	55157	423640
576	55248	423504
577	55332	423322
578	55423	423191
579	55519	423098
580	55624	423068
581	55715	422937
582	55805	422798
583	55922	422863
584	56019	422781
585	56103	422594
586	56199	422501
587	56319	422591
588	56416	422503
589	56509	422386
590	56597	422233
591	56688	422099
592	56791	422060
593	56902	422071
594	57013	422090
595	57106	421972
596	57201	421873
597	57301	421808
598	57390	421664
599	57479	421519
600	57564	421340
601	57659	421242
602	57750	421111
603	57851	421053
604	57951	420985
605	58036	420814
606	58144	420803
607	58249	420778
608	58346	420685
609	58442	420594
610	58542	420525
611	58644	420480
612	58737	420360
613	58851	420396
614	58961	420396
615	59057	420305
616	59146	420163
617	59239	420045
618	59346	420024
619	59449	419981
620	59543	419872
621	59640	419784
622	59735	419681
623	59835	419615
624	59930	419513
625	60027	419425
626	60124	419335
627	60224	419268
628	60326	419216
629	60425	419143
630	60529	419102
631	60627	419023
632	60725	418937
633	60820	418833
634	60915	418731
635	61017	418677
636	61120	418633
637	61217	418545
638	61322	418508
639	61418	418412
640	61507	418269
641	61590	418087
642	61676	417920
643	61773	417836
644	61865	417715
645	61954	417567
646	62047	417453
647	62138	417326
648	62230	417205
649	62317	417047
650	62404	416893
651	62499	416788
652	62590	416660
653	62682	416543
654	62767	416375
655	62851	416200
656	62939	416051
657	63027	415902
658	63114	415753
659	63205	415621
660	63302	415536
661	63392	415401
662	63479	415249
663	63565	415093
664	63658	414973
665	63750	414857
666	63838	414711
667	63928	414576
668	64013	414414
669	64097	414242
670	64185	414096
671	64276	413969
672	64368	413849
673	64458	413717
674	64546	413576
675	64631	413413
676	64718	413260
677	64810	413145
678	64901	413015
679	64987	412859
680	65072	412699
681	65158	412545
682	65242	412375
683	65328	412220
684	65413	412055
685	65502	411921
686	65586	411756
687	65672	411600
688	65768	411505
689	65851	411336
690	65942	411209
691	66026	411043
692	66112	410892
693	66199	410744
694	66284	410584
695	66369	410422
696	66459	410292
697	66548	410160
698	66633	409998
699	66718	409843
700	66802	409677
701	66898	409588
702	66987	409452
703	67072	409297
704	67160	409152
705	67255	409060
706	67346	408936
707	67438	408820
708	67530	408709
709	67620	408582
710	67706	408429
711	67792	408276
712	67876	408113
713	67962	407968
714	68048	407815
715	68136	407678
716	68223	407534
717	68317	407429
718	68402	407273
719	68493	407153
720	68581	407018
721	68668	406873
722	68761	406766
723	68858	406682
724	68945	406539
725	69030	406384
726	69117	406241
727	69203	406096
728	69289	405946
729	69375	405796
730	69462	405656
731	69550	405520
732	69634	405364
733	69721	405221
734	69817	405130
735	69905	404996
736	69992	404857
737	70082	404728
738	70169	404588
739	70258	404458
740	70342	404302
741	70433	404185
742	70520	404047
743	70604	403886
744	70688	403728
745	70785	403645
746	70871	403500
747	70961	403381
748	71052	403264
749	71139	403125
750	71226	402982
751	71311	402834
752	71398	402694
753	71487	402568
754	71576	402439
755	71662	402294
756	71747	402144
757	71840	402038
758	71926	401899
759	72015	401771
760	72100	401621
761	72189	401492
762	72282	401392
763	72371	401266
764	72456	401114
765	72545	400990
766	72629	400835
767	72718	400708
768	72803	400562
769	72895	400454
770	72980	400306
771	73071	400187
772	73159	400057
773	73247	399926
774	73337	399805
775	73421	399655
776	73507	399515
777	73599	399407
778	73690	399289
779	73776	399148
780	73867	399035
781	73955	398903
782	74038	398749
783	74129	398633
784	74215	398493
785	74306	398382
786	74395	398257
787	74487	398146
788	74574	398013
789	74659	397871
790	74748	397742
791	74834	397608
792	74919	397458
793	75008	397339
794	75097	397214
795	75187	397093
796	75274	396962
797	75361	396827
798	75449	396702
799	75533	396550
800	75623	396430
801	75711	396305
802	75797	396168
803	75880	396014
804	75964	395864
805	76048	395714
806	76133	395572
807	76223	395457
808	76316	395356
809	76405	395234
810	76490	395092
811	76576	394956
812	76662	394815
813	76747	394674
814	76831	394527
815	76917	394388
816	77006	394268
817	77092	394133
818	77177	393990
819	77264	393861
820	77356	393755
821	77440	393608
822	77527	393480
823	77614	393345
824	77699	393206
825	77782	393056
826	77870	392931
827	77958	392804
828	78049	392693
829	78137	392568
830	78224	392437
831	78316	392333
832	78405	392215
833	78489	392071
834	78576	391943
835	78664	391819
836	78751	391689
837	78840	391565
838	78928	391445
839	79016	391320
840	79101	391181
841	79194	391082
842	79282	390956
843	79366	390813
844	79454	390689
845	79541	390561
846	79626	390421
847	79710	390282
848	79792	390126
849	79880	390003
850	79965	389866
851	80053	389742
852	80141	389622
853	80228	389494
854	80317	389373
855	80403	389245
856	80496	389145
857	80586	389030
858	80673	388905
859	80755	388754
860	80843	388629
861	80925	388479
862	81013	388356
863	81099	388225
864	81181	388075
865	81264	387931
866	81352	387807
867	81441	387690
868	81525	387551
869	81616	387441
870	81700	387304
871	81786	387173
872	81871	387036
873	81961	386926
874	82045	386786
875	82136	386680
876	82230	386586
877	82318	386464
878	82405	386338
879	82492	386214
880	82577	386079
881	82661	385940
882	82750	385824
883	82835	385692
884	82921	385559
885	83007	385431
886	83093	385300
887	83182	385188
888	83267	385055
889	83355	384931
890	83443	384812
891	83531	384693
892	83618	384570
893	83703	384438
894	83787	384298
895	83871	384162
896	83960	384048
897	84049	383933
898	84141	383830
899	84226	383696
900	84314	383580
901	84401	383458
902	84489	383336
903	84577	383220
904	84661	383080
905	84746	382949
906	84832	382820
907	84920	382703
908	85017	382625
909	85112	382537
910	85198	382412
911	85291	382314
912	85376	382184
913	85463	382060
914	85546	381922
915	85631	381787
916	85724	381692
917	85810	381567
918	85898	381448
919	85985	381326
920	86070	381196
921	86155	381063
922	86237	380921
923	86322	380789
924	86411	380679
925	86497	380553
926	86584	380428
927	86667	380290
928	86756	380179
929	86846	380069
930	86931	379939
931	87017	379814
932	87104	379692
933	87194	379587
934	87280	379459
935	87369	379345
936	87456	379226
937	87542	379100
938	87629	378983
939	87719	378874
940	87806	378750
941	87897	378647
942	87985	378534
943	88070	378405
944	88163	378310
945	88248	378179
946	88332	378050
947	88415	377911
948	88498	377772
949	88584	377649
950	88668	377517
951	88754	377391
952	88842	377276
953	88930	377160
954	89018	377044
955	89106	376932
956	89188	376793
957	89273	376661
958	89359	376539
959	89445	376416
960	89535	376308
961	89623	376193
962	89710	376075
963	89800	375971
964	89890	375863
965	89986	375781
966	90074	375665
967	90163	375556
968	90247	375424
969	90335	375311
970	90421	375187
971	90510	375077
972	90596	374954
973	90683	374838
974	90774	374737
975	90863	374623
976	90949	374504
977	91036	374386
978	91120	374253
979	91201	374113
980	91292	374012
981	91377	373882
982	91463	373764
983	91547	373634
984	91635	373518
985	91719	373390
986	91806	373272
987	91894	373157
988	91981	373041
989	92066	372917
990	92153	372798
991	92237	372668
992	92323	372549
993	92412	372441
994	92500	372327
995	92589	372217
996	92677	372105
997	92766	371996
998	92854	371881
999	92940	371761
1000	93027	371644
1001	93111	371518
1002	93200	371409
1003	93287	371292
1004	93372	371166
1005	93465	371074
1006	93557	370977
1007	93645	370866
1008	93732	370749
1009	93819	370632
1010	93914	370550
1011	94009	370462
1012	94097	370353
1013	94183	370233
1014	94271	370121
1015	94363	370022
1016	94449	369905
1017	94539	369800
1018	94627	369688
1019	94711	369562
1020	94799	369447
1021	94884	369326
1022	94972	369212
1023	95056	369088
1024	95142	368968
1025	95228	368848
1026	95316	368736
1027	95400	368608
1028	95483	368480
1029	95569	368361
1030	95655	368241
1031	95741	368121
1032	95828	368008
1033	95910	367873
1034	95998	367762
1035	96088	367658
1036	96176	367547
1037	96264	367435
1038	96358	367348
1039	96446	367237
1040	96529	367109
1041	96614	366987
1042	96701	366873
1043	96785	366746
1044	96870	366625
1045	96962	366528
1046	97047	366406
1047	97133	366289
1048	97219	366171
1049	97306	366057
1050	97396	365955
1051	97491	365869
1052	97579	365762
1053	97667	365649
1054	97757	365547
1055	97844	365435
1056	97934	365332
1057	98019	365210
1058	98109	365107
1059	98195	364989
1060	98284	364884
1061	98368	364761
1062	98452	364635
1063	98538	364519
1064	98625	364403
1065	98711	364287
1066	98797	364170
1067	98884	364059
1068	98969	363936
1069	99054	363818
1070	99147	363726
1071	99237	363625
1072	99322	363503
1073	99411	363397
1074	99496	363277
1075	99584	363169
1076	99672	363058
1077	99757	362939
1078	99845	362832
1079	99930	362712
1080	100016	362594
1081	100108	362499
1082	100200	362404
1083	100289	362301
1084	100375	362183
1085	100466	362084
1086	100552	361968
1087	100636	361847
1088	100730	361759
1089	100818	361650
1090	100908	361551
1091	100996	361442
1092	101085	361335
1093	101176	361237
1094	101267	361139
1095	101352	361023
1096	101438	360907
1097	101528	360804
1098	101621	360715
1099	101716	360632
1100	101802	360516
1101	101891	360410
1102	101978	360299
1103	102071	360209
1104	102160	360103
1105	102245	359986
1106	102339	359899
1107	102427	359790
1108	102513	359674
1109	102597	359551
1110	102690	359463
1111	102776	359348
1112	102865	359245
1113	102953	359134
1114	103040	359026
1115	103126	358908
1116	103211	358793
1117	103298	358679
1118	103382	358560
1119	103467	358441
1120	103558	358344
1121	103643	358226
1122	103731	358118
1123	103827	358038
1124	103912	357920
1125	103996	357798
1126	104078	357672
1127	104168	357572
1128	104253	357452
1129	104341	357346
1130	104431	357246
1131	104521	357146
1132	104609	357038
1133	104697	356930
1134	104787	356831
1135	104873	356718
1136	104959	356603
1137	105048	356501
1138	105135	356390
1139	105222	356279
1140	105307	356163
1141	105390	356039
1142	105482	355944
1143	105567	355828
1144	105650	355706
1145	105738	355599
1146	105830	355505
1147	105915	355387
1148	106003	355284
1149	106090	355172
1150	106177	355061
1151	106265	354956
1152	106351	354842
1153	106438	354735
1154	106527	354629
1155	106614	354520
1156	106700	354409
1157	106788	354303
1158	106872	354182
1159	106962	354081
1160	107054	353988
1161	107140	353876
1162	107223	353756
1163	107313	353654
1164	107403	353555
1165	107487	353437
1166	107574	353325
1167	107663	353225
1168	107750	353115
1169	107839	353012
1170	107928	352910
1171	108015	352800
1172	108113	352727
1173	108203	352628
1174	108290	352520
1175	108377	352411
1176	108463	352299
1177	108549	352187
1178	108635	352074
1179	108718	351952
1180	108810	351860
1181	108896	351748
1182	108983	351639
1183	109072	351539
1184	109159	351427
1185	109246	351320
1186	109333	351213
1187	109422	351111
1188	109512	351011
1189	109598	350900
1190	109683	350784
1191	109769	350672
1192	109859	350572
1193	109948	350471
1194	110031	350352
1195	110123	350257
1196	110208	350145
1197	110294	350031
1198	110381	349925
1199	110471	349826
1200	110555	349707
1201	110643	349603
1202	110732	349501
1203	110818	349390
1204	110906	349284
1205	110991	349173
1206	111079	349067
1207	111165	348955
1208	111252	348848
1209	111337	348733
1210	111430	348644
1211	111517	348538
1212	111603	348428
1213	111691	348323
1214	111783	348230
1215	111870	348123
1216	111957	348016
1217	112043	347906
1218	112129	347795
1219	112213	347679
1220	112303	347581
1221	112389	347468
1222	112475	347357
1223	112560	347244
1224	112657	347168
1225	112743	347058
1226	112835	346965
1227	112919	346849
1228	113006	346743
1229	113092	346634
1230	113178	346522
1231	113261	346404
1232	113347	346294
1233	113432	346180
1234	113519	346072
1235	113608	345973
1236	113700	345880
1237	113790	345782
1238	113879	345683
1239	113967	345579
1240	114051	345464
1241	114143	345371
1242	114232	345270
1243	114319	345165
1244	114407	345059
1245	114492	344949
1246	114583	344852
1247	114673	344756
1248	114761	344651
1249	114847	344542
1250	114930	344423
1251	115014	344309
1252	115102	344205
1253	115192	344108
1254	115275	343990
1255	115360	343877
1256	115443	343758
1257	115527	343642
1258	115615	343541
1259	115703	343438
1260	115786	343319
1261	115873	343214
1262	115961	343111
1263	116048	343004
1264	116140	342913
1265	116226	342803
1266	116312	342694
1267	116396	342579
